Id,MaterialStockUpFlowId,StockUpFlowId
1,21327,12
2,5703,12
3,5429,12
5,5713,12
6,5811,12
7,21396,12
8,5817,12
9,26654,12
10,26655,12
11,5716,12
12,26830,12
13,26820,12
14,21295,12
15,5808,12
16,5807,12
17,6015,12
38,28090,39
39,28091,39
40,28092,39
41,28093,39
42,28094,39
43,28095,39
44,28096,39
45,28097,39
46,28098,39
47,28099,39
48,28100,39
49,28101,39
50,28102,39
51,28103,39
52,28104,39
53,28105,39
54,28106,39
55,28118,39
56,28119,39
57,28120,39
58,28121,39
59,28122,39
60,28123,39
61,28124,39
62,28125,39
63,28126,39
64,28127,39
65,28128,39
66,28129,39
67,28130,39
68,28131,39
69,28132,39
70,28133,39
71,28134,39
72,28135,39
73,28136,39
74,28137,39
75,28138,39
76,28139,39
77,28140,39
78,28141,39
79,28142,39
80,28143,39
81,28144,39
82,28145,39
83,28146,39
84,28147,39
85,28148,39
86,28149,39
87,28150,39
88,28151,39
89,28152,39
90,28153,39
91,28154,39
92,28155,39
93,28156,39
94,28157,39
95,28158,39
96,28159,39
97,28160,39
98,28161,39
99,28162,39
100,28163,39
101,28164,39
102,28165,39
103,28166,39
104,28167,39
105,28168,39
106,28169,39
107,28170,39
108,28171,39
109,28172,39
110,28173,39
111,28174,39
112,28175,39
113,28176,39
114,28177,39
115,28178,39
116,28179,39
117,28180,39
118,28181,39
119,26536,39
120,26549,39
121,26182,39
122,27649,39
123,27250,39
124,27356,39
125,28021,39
126,28020,39
127,21359,39
128,26342,39
129,26341,39
130,26339,39
131,26343,39
132,26663,39
133,26662,39
134,28182,39
135,28183,39
136,5495,39
137,5496,39
138,28184,39
139,28185,39
140,28186,39
141,28187,39
142,28188,39
143,28189,39
144,28190,39
145,28191,39
146,28192,39
147,28193,39
148,28194,39
149,28195,39
150,28196,39
151,28197,39
152,26829,39
153,28198,39
154,28199,39
155,28200,39
156,28201,39
157,28202,39
158,28203,39
159,28204,39
160,28205,39
161,28206,39
162,28207,39
163,28208,39
164,28209,39
165,28210,39
166,28211,39
167,28212,39
168,28213,39
169,28214,39
170,28215,39
171,28216,39
172,28217,39
205,28250,39
207,28252,39
208,28253,39
209,28254,39
210,28255,39
211,28256,39
212,28257,39
213,28258,39
214,28259,39
215,28260,39
217,28262,39
218,28263,39
219,28264,39
220,28265,39
221,28266,39
222,28267,39
223,28268,39
224,28269,39
225,28270,39
226,28280,39
227,28281,39
228,28282,39
229,28283,39
230,28284,39
231,28285,39
234,28288,39
235,28286,39
236,21292,39
238,28287,39
242,5743,12
245,28363,39
246,28364,39
247,28365,39
248,28366,39
249,28367,39
250,28368,39
251,28369,39
252,28370,39
253,28371,39
254,28372,39
255,28373,39
256,5697,11
257,28375,39
258,28376,39
259,28377,39
260,28378,39
261,28379,39
262,28380,39
263,28381,39
264,28382,39
265,28383,39
266,28384,39
267,28385,39
268,28386,39
269,28387,39
270,28388,39
271,28389,39
272,28390,39
273,28391,39
274,28392,39
275,28393,39
276,28394,39
277,28395,39
278,28396,39
279,28397,39
280,5728,39
281,28418,39
282,5766,39
284,28478,39
285,5718,39
286,5719,39
287,5725,39
288,5748,12
289,28764,39
290,28765,39
292,28758,39
295,28760,39
296,28872,39
297,28759,39
298,21398,42
299,5960,42
300,5966,42
301,5962,42
302,5965,42
303,5617,42
304,27091,42
305,26975,42
306,26950,42
307,5991,42
308,5990,42
309,5989,42
310,5988,42
311,5968,42
312,5967,42
313,5644,42
314,5628,42
315,5623,42
316,5622,42
317,5616,42
318,5615,42
319,5654,42
320,5660,42
321,5957,42
322,5958,42
323,5959,42
324,5692,42
325,5650,42
326,11212,42
327,11209,42
328,5683,42
329,5992,42
330,21400,42
331,5663,42
332,5691,42
333,28925,39
334,28932,42
335,28948,42
336,21302,42
337,5987,42
338,11187,42
339,5974,42
340,5973,42
341,5964,42
343,5969,42
344,26842,42
345,29798,42
346,29985,12
347,5986,42
348,30141,12
349,5647,42
782,30772,39
783,30771,39
784,30770,39
785,30713,39
786,30736,39
787,30735,39
788,30773,39
789,30774,39
790,30737,39
791,30728,39
792,30729,39
793,30727,39
794,30726,39
795,30897,39
796,30898,39
797,30738,39
799,30945,39
802,30993,39
803,31011,19
804,31011,19
805,31032,42
806,31034,42
807,5260,39
810,5977,39
811,11210,42
812,31532,39
813,27669,42
814,31561,42
815,31803,39
816,31765,39
818,31782,11
819,27357,42
820,27530,39
821,31974,39
823,31975,39
824,31992,39
825,32005,39
826,31812,39
827,32024,10
828,32106,39
829,32146,10
830,32148,10
831,32176,10
832,32178,39
833,5664,42
834,26572,39
835,26534,39
836,32449,39
837,32467,42
838,32504,39
839,5970,42
840,32541,39
841,32652,12
842,32914,39
843,32915,39
844,32947,39
845,32977,39
846,32982,12
847,32140,39
848,32141,39
849,32142,39
850,33429,39
852,33399,39
853,33398,39
854,33413,39
856,33045,39
857,33563,39
858,33581,39
859,33686,39
860,33397,39
861,33958,39
862,32135,39
863,34237,39
864,34241,39
865,32899,42
866,34343,39
867,27053,42
868,11205,42
869,5979,42
870,34551,39
871,34620,39
872,34680,39
873,21399,42
875,34727,12
876,26538,42
877,34775,42
878,5299,39
879,34848,39
880,34863,39
881,34864,39
882,34916,39
883,34928,39
884,34978,39
885,5985,42
886,34979,39
887,35099,39
888,32138,39
889,5963,42
890,33937,39
891,32136,39
892,33505,39
893,35331,39
894,35422,39
895,35479,42
896,35433,39
898,33713,42
899,35559,39
900,35584,39
901,35585,39
902,33470,39
903,31481,10
904,36091,39
905,5971,42
906,30743,39
907,33938,39
908,36180,39
909,36312,42
936,5972,42
937,36739,42
938,36895,42
939,36912,42
940,36913,42
941,36914,42
942,30763,39
943,38114,39
944,38386,42
945,38396,42
964,38712,39
965,38713,39
966,38714,39
967,38717,39
968,38720,39
969,38722,39
970,38728,39
971,38729,39
972,38730,39
973,38731,39
974,38732,39
975,38733,39
976,38734,39
977,38736,39
978,38739,39
979,38740,39
980,38743,39
981,38746,39
982,38759,39
983,38763,42
984,26764,39
985,39063,42
986,39084,39
987,39099,39
988,39155,39
989,32137,39
991,5729,39
992,39772,39
993,39912,39
994,5745,39
995,40345,39
996,40456,39
997,40596,39
998,40326,39
999,40493,39
1000,40635,39
1001,28453,39
1002,40680,39
1003,30958,39
1004,40855,39
1005,40854,39
1006,40853,39
1007,41460,42
1015,41911,39
1016,41976,11
1017,41977,11
1018,42001,39
1019,41998,39
1020,42068,39
1022,42275,39
1023,42289,39
1024,41094,39
1025,42359,12
1026,42453,10
1027,42502,39
1028,42297,42
1029,41525,39
1030,42669,39
1031,42685,42
1032,42682,25
1033,42826,39
1034,42972,39
1035,43223,39
1036,43390,39
1037,36276,39
1038,36275,39
1039,36227,39
1040,43197,39
1041,43196,39
1042,43798,10
1043,43073,39
1044,43831,39
1045,40791,39
1046,44308,42
1047,44382,39
1050,44500,39
1051,42995,39
1052,42965,39
1053,45164,10
1054,45165,39
1055,45415,10
1056,44831,39
1057,45495,39
1058,42034,10
1059,45504,39
1060,45573,39
1061,45802,39
1063,46050,39
1064,46045,39
1065,46328,39
1066,46335,39
1067,44490,39
1068,46514,39
1069,46537,39
1070,46550,42
1071,46560,39
1072,47046,39
1073,47045,39
1074,45960,39
1075,42467,39
1076,42760,42
1077,48628,39
1083,47802,42
1084,47804,42
1085,47803,42
