Id,PackingCategoryId,Name,BatchType,Remark,CreatedDateTime,UpdatedDateTime,IsDeleted
1,1,PVC非快速备货,3,,2010-08-11 16:41:01.653,2011-08-05 11:25:05.61,0
2,1,配套备货,2,,2010-08-11 16:41:25.593,2011-03-30 10:44:35.643,0
3,1,芯类备货,2,-12,2010-08-11 16:41:56.11,2011-03-30 10:44:39.853,0
4,1,油漆备货,3,,2010-08-11 16:42:18.08,2010-11-16 20:27:03.0,1
5,1,工艺备货,3,,2010-08-11 16:42:38.44,2010-08-11 16:42:55.623,0
6,1,玻璃备货,3,,2010-08-11 16:43:09.933,2010-08-11 16:43:09.933,0
7,1,五金备货,3,,2010-08-11 16:43:33.607,2010-08-11 16:43:33.607,0
8,1,纸箱备货,3,,2010-08-11 16:43:48.053,2010-09-10 19:05:39.7,0
9,3,散单柜体备货,2,,2010-08-11 19:55:28.947,2010-08-11 19:55:28.947,0
10,5,趟门,2,,2010-08-20 19:36:05.177,2010-09-28 17:38:19.503,0
11,5,趟门玻璃,3,,2010-08-21 15:26:46.447,2011-12-08 11:22:36.21,0
12,5,上下轨-五金,2,,2010-08-21 15:27:37.013,2010-11-17 19:46:59.833,0
13,6,标准件一仓备货,3,,2010-09-02 11:32:05.397,2010-09-10 21:54:09.113,0
14,7,标准件二仓备货,3,,2010-09-02 11:50:37.737,2010-09-10 21:54:39.847,0
15,3,散单异形备货,2,,2010-09-08 20:12:21.5,2010-11-17 23:42:07.083,0
16,3,散单拼框条备货,1,,2010-09-08 20:26:32.613,2010-11-17 23:42:17.58,0
17,3,散单背板备货,2,-5mm,2010-09-08 20:35:32.177,2010-12-23 20:30:43.79,0
18,3,散单工艺备货,3,,2010-09-08 20:41:09.793,2010-11-17 23:42:33.04,0
19,3,散单玻璃备货,3,,2010-09-08 20:50:03.307,2010-11-17 23:42:41.683,0
20,8,板材一仓备货,3,,2010-09-09 15:56:51.407,2010-09-10 21:55:05.863,0
21,2,线条备货,3,,2010-09-09 18:04:16.823,2010-09-09 18:04:16.823,0
22,9,板材二仓备货,3,,2010-09-10 16:15:53.007,2010-09-10 21:55:15.88,0
23,10,板材基材仓备货,3,,2010-09-10 16:34:40.42,2010-09-10 21:55:46.393,0
24,10,铝材基材仓备货,3,,2010-09-10 21:56:20.033,2010-09-10 21:56:20.033,0
25,12,五金一仓备货,3,,2010-09-10 21:56:46.41,2010-09-10 21:56:46.41,0
26,13,五金二仓备货,3,,2010-09-10 21:57:07.44,2010-09-10 21:57:07.44,0
27,14,五金三仓备货,3,,2010-09-10 21:57:29.457,2011-04-01 20:42:05.0,1
28,15,成品配套仓备货,3,,2010-09-10 21:58:28.02,2010-09-10 21:58:28.02,0
29,16,柜身五金仓备货,3,,2011-02-28 23:14:11.363,2011-03-09 02:01:57.453,0
30,17,设计仓备货,3,,2011-03-02 08:32:37.07,2011-03-02 08:32:37.07,0
31,18,样品仓备货,2,,2011-03-02 15:47:40.763,2011-03-02 16:08:07.823,0
33,16,趟门五金,3,,2011-04-03 16:03:32.227,2011-04-03 16:06:01.0,1
34,1,抽芯备货,2,-12,2011-04-11 21:09:16.683,2011-04-13 15:32:58.573,0
35,22,淘汰仓备货,3,,2011-05-21 09:45:03.043,2011-05-21 09:45:03.043,0
36,1,泡沫备货,3,,2011-07-02 12:01:08.577,2011-07-02 12:01:08.577,0
37,1,PVC快速备货,3,,2011-08-04 10:27:32.133,2011-08-04 10:27:32.133,0
38,24,标准件三仓备货,3,,2011-09-10 10:44:41.467,2011-09-21 15:53:46.777,0
39,31,拼框门,2,-P,2011-09-24 14:14:11.787,2011-10-06 11:29:18.183,0
40,3,散单吸塑备货,2,,2011-10-20 19:52:37.087,2011-10-20 19:52:37.087,0
41,1,吸塑备货,2,,2011-11-09 20:51:13.617,2011-12-06 09:31:25.0,1
42,31,拼框门玻璃,3,,2011-12-04 16:31:42.733,2011-12-08 11:22:42.653,0
43,1,标准件吸塑备货,3,,2011-12-06 09:34:40.72,2011-12-06 09:34:40.72,0
44,3,实木门备货,2,,2012-05-04 16:38:14.257,2012-05-04 16:38:14.257,0
45,2,温康纳贴面备货,3,,2012-05-24 14:33:58.447,2012-05-24 14:56:15.0,1
46,5,温康纳贴面,3,,2012-05-24 14:56:55.92,2012-05-24 14:57:26.0,1
